特征名称,相关性,绝对相关性
type_token_ratio,0.9526253506120553,0.9526253506120553
vocabulary_size,0.9201605829723398,0.9201605829723398
dis_legomena,0.9177149868723766,0.9177149868723766
2gram_unique_count,0.9142394665930614,0.9142394665930614
2gram_count,0.913962682761218,0.913962682761218
3gram_count,0.913962682761218,0.913962682761218
3gram_unique_count,0.9128505199425213,0.9128505199425213
hapax_ratio,0.911978923163246,0.911978923163246
sentence_count,0.8981106583414858,0.8981106583414858
sentence_count,0.8981106583414858,0.8981106583414858
space_ratio,0.895328717758725,0.895328717758725
hapax_legomena,0.8889472250174816,0.8889472250174816
sentence_count,0.8884108063420313,0.8884108063420313
sentence_count,0.8884108063420313,0.8884108063420313
paragraph_count,0.8875091109449877,0.8875091109449877
2gram_diversity,0.8502311821877008,0.8502311821877008
dale_chall_readability_score,0.8365317898689334,0.8365317898689334
avg_word_length,0.8091564290569179,0.8091564290569179
avg_word_length,0.8091564290569179,0.8091564290569179
avg_word_length,0.8057841578753687,0.8057841578753687
avg_word_length,0.8057841578753687,0.8057841578753687
coleman_liau_index,0.7952550007772989,0.7952550007772989
flesch_reading_ease,0.7627880201429664,0.7627880201429664
comma_count,0.7450066104474036,0.7450066104474036
quotation_count,0.70305234441253,0.70305234441253
3gram_diversity,0.6706946261738014,0.6706946261738014
dis_ratio,0.6455194272254117,0.6455194272254117
avg_sentence_length,0.6396236162678869,0.6396236162678869
flesch_kincaid_grade,0.5997477486302971,0.5997477486302971
gunning_fog,0.4934058753904535,0.4934058753904535
smog_index,0.4848217886379546,0.4848217886379546
automated_readability_index,0.44498979816854484,0.44498979816854484
question_count,0.4022840451130777,0.4022840451130777
capital_letter_ratio,0.3416442901613092,0.3416442901613092
colon_count,0.2680301222702532,0.2680301222702532
exclamation_count,0.2219243375571195,0.2219243375571195
digit_ratio,0.14000519029518657,0.14000519029518657
semicolon_count,0.04829804923590757,0.04829804923590757
