排名,特征名称,重要性得分,相关性
1,type_token_ratio,0.9526253506120553,0.9526253506120553
2,vocabulary_size,0.9201605829723398,0.9201605829723398
3,dis_legomena,0.9177149868723766,0.9177149868723766
4,2gram_unique_count,0.9142394665930614,0.9142394665930614
5,3gram_count,0.913962682761218,0.913962682761218
6,2gram_count,0.913962682761218,0.913962682761218
7,3gram_unique_count,0.9128505199425213,0.9128505199425213
8,hapax_ratio,0.911978923163246,0.911978923163246
9,sentence_count,0.8981106583414858,0.8981106583414858
10,sentence_count,0.8981106583414858,0.8981106583414858
11,space_ratio,0.895328717758725,0.895328717758725
12,hapax_legomena,0.8889472250174816,0.8889472250174816
13,sentence_count,0.8884108063420313,0.8884108063420313
14,sentence_count,0.8884108063420313,0.8884108063420313
15,paragraph_count,0.8875091109449877,0.8875091109449877
16,2gram_diversity,0.8502311821877008,0.8502311821877008
17,dale_chall_readability_score,0.8365317898689334,0.8365317898689334
18,avg_word_length,0.8091564290569179,0.8091564290569179
19,avg_word_length,0.8091564290569179,0.8091564290569179
20,avg_word_length,0.8057841578753687,0.8057841578753687
21,avg_word_length,0.8057841578753687,0.8057841578753687
22,coleman_liau_index,0.7952550007772989,0.7952550007772989
23,flesch_reading_ease,0.7627880201429664,0.7627880201429664
24,comma_count,0.7450066104474036,0.7450066104474036
25,quotation_count,0.70305234441253,0.70305234441253
26,3gram_diversity,0.6706946261738014,0.6706946261738014
27,dis_ratio,0.6455194272254117,0.6455194272254117
28,avg_sentence_length,0.6396236162678869,0.6396236162678869
29,flesch_kincaid_grade,0.5997477486302971,0.5997477486302971
30,gunning_fog,0.4934058753904535,0.4934058753904535
31,smog_index,0.4848217886379546,0.4848217886379546
32,automated_readability_index,0.44498979816854484,0.44498979816854484
33,question_count,0.4022840451130777,0.4022840451130777
34,capital_letter_ratio,0.3416442901613092,0.3416442901613092
35,colon_count,0.2680301222702532,0.2680301222702532
36,exclamation_count,0.2219243375571195,0.2219243375571195
37,digit_ratio,0.14000519029518657,0.14000519029518657
38,semicolon_count,0.04829804923590757,0.04829804923590757
